iter	Passed	Remaining
0	4	412
1	7	368
2	10	345
3	13	317
4	16	312
5	19	307
6	22	299
7	24	283
8	26	269
9	28	256
10	30	246
11	32	237
12	34	228
13	36	223
14	38	216
15	40	211
16	42	205
17	43	199
18	45	195
19	47	190
20	49	185
21	50	180
22	52	175
23	53	170
24	55	165
25	56	161
26	58	157
27	59	153
28	61	149
29	62	145
30	63	142
31	65	139
32	66	135
33	68	132
34	69	129
35	71	126
36	72	123
37	74	120
38	75	118
39	76	115
40	78	112
41	78	109
42	80	106
43	81	104
44	83	101
45	84	99
46	86	97
47	87	94
48	89	92
49	90	90
50	92	88
51	93	86
52	95	84
53	96	82
54	97	79
55	98	77
56	100	75
57	101	73
58	103	71
59	104	69
60	106	67
61	107	66
62	109	64
63	110	62
64	112	60
65	113	58
66	115	56
67	116	54
68	117	52
69	119	51
70	121	49
71	123	47
72	124	46
73	126	44
74	127	42
75	129	40
76	130	39
77	132	37
78	133	35
79	135	33
80	136	32
81	137	30
82	139	28
83	140	26
84	142	25
85	143	23
86	144	21
87	146	19
88	147	18
89	149	16
90	150	14
91	152	13
92	153	11
93	154	9
94	156	8
95	157	6
96	159	4
97	160	3
98	161	1
99	163	0
