iter	Passed	Remaining
0	307	306909
1	309	154589
2	312	103958
3	315	78578
4	318	63307
5	320	53111
6	323	45827
7	325	40370
8	328	36225
9	337	33420
10	341	30668
11	344	28358
12	361	27464
13	364	25655
14	366	24052
15	368	22636
16	372	21552
17	375	20466
18	377	19484
19	379	18618
20	382	17811
21	383	17068
22	388	16493
23	390	15885
24	392	15326
25	395	14815
26	398	14343
27	401	13926
28	403	13518
29	405	13117
30	407	12745
31	409	12391
32	411	12057
33	413	11741
34	418	11530
35	420	11265
36	423	11012
37	425	10775
38	428	10558
39	431	10359
40	433	10145
41	436	9945
42	438	9754
43	440	9571
44	457	9706
45	462	9601
46	465	9435
47	467	9278
48	470	9127
49	472	8972
50	480	8939
51	482	8804
52	485	8669
53	487	8534
54	489	8407
55	493	8314
56	496	8209
57	498	8091
58	500	7981
59	509	7989
60	512	7887
61	514	7789
62	517	7693
63	521	7622
64	524	7543
65	526	7456
66	529	7370
67	531	7287
68	534	7208
69	537	7146
70	542	7098
71	546	7039
72	550	6991
73	557	6974
74	559	6905
75	562	6833
76	565	6780
77	569	6734
78	572	6671
79	574	6610
80	577	6548
81	581	6515
82	586	6478
83	588	6418
84	592	6377
85	609	6477
86	611	6417
87	614	6373
88	618	6327
89	620	6276
90	623	6229
91	626	6178
92	632	6169
93	634	6117
94	638	6081
95	640	6034
96	644	5999
97	646	5954
98	651	5926
99	657	5918
100	666	5929
101	668	5887
102	671	5851
103	677	5834
104	680	5798
105	682	5757
106	685	5718
107	687	5679
108	692	5661
109	695	5630
110	699	5599
111	701	5563
112	705	5534
113	709	5515
114	716	5510
115	717	5471
116	719	5431
117	726	5429
118	729	5399
119	731	5366
120	734	5333
121	741	5336
122	744	5304
123	747	5278
124	759	5313
125	761	5284
126	763	5250
127	766	5219
128	771	5209
129	773	5178
130	776	5149
131	778	5120
132	781	5091
133	784	5068
134	787	5043
135	789	5017
136	793	4999
137	795	4968
138	797	4941
139	801	4924
140	804	4900
141	805	4868
142	808	4844
143	817	4860
144	820	4840
145	823	4816
146	825	4791
147	828	4768
148	833	4760
149	836	4737
150	838	4714
151	840	4690
152	843	4671
153	846	4649
154	848	4624
155	850	4599
156	852	4575
157	853	4550
158	855	4526
159	859	4513
160	860	4486
161	863	4465
162	865	4444
163	868	4424
164	870	4403
165	875	4397
166	877	4376
167	879	4354
168	881	4333
169	883	4312
170	885	4294
171	888	4277
172	890	4258
173	892	4238
174	894	4217
175	896	4198
176	899	4180
177	901	4161
178	903	4145
179	906	4129
180	908	4111
181	910	4092
182	913	4076
183	915	4059
184	917	4042
185	920	4030
186	923	4015
187	926	4000
188	929	3987
189	931	3970
190	934	3959
191	937	3944
192	939	3927
193	941	3910
194	943	3893
195	945	3876
196	946	3860
197	950	3850
198	952	3834
199	954	3817
200	958	3810
201	960	3795
202	963	3780
203	966	3772
204	968	3757
205	971	3743
206	973	3727
207	974	3712
208	976	3696
209	980	3689
210	983	3676
211	985	3664
212	988	3651
213	990	3637
214	992	3622
215	995	3614
216	997	3600
217	1001	3591
218	1003	3579
219	1006	3567
220	1010	3563
221	1013	3552
222	1016	3541
223	1018	3529
224	1022	3520
225	1024	3508
226	1028	3502
227	1030	3490
228	1033	3479
229	1035	3467
230	1043	3472
231	1045	3461
232	1048	3449
233	1050	3438
234	1052	3426
235	1057	3423
236	1060	3412
237	1062	3401
238	1064	3389
239	1066	3378
240	1069	3367
241	1072	3357
242	1076	3353
